Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,9,mois,month
9,11,laisser,let
10,12,car,because
11,13,mettre,to put
12,14,laisse,leash
13,15,ville,city
14,16,chaque,each
15,17,parlé,speak
16,18,arrivé,come
17,19,devrait,should
18,20,bébé,baby
19,22,heures,hours
20,23,vont,will
21,25,revoir,meet again
22,27,place,square
23,28,parle,speak
24,29,compris,understood
25,30,savais,knew
26,31,étaient,were
27,32,attention,Warning
28,34,pourrais,could
29,36,donner,give
30,37,type,type
31,39,donné,given
32,40,train,train
33,41,corps,body
34,43,yeux,eyes
35,44,façon,way
36,45,écoute,listen
37,46,dont,whose
38,47,trouve,find
39,48,premier,first
40,49,perdu,lost
41,50,main,hand
42,51,première,first
43,52,côté,side
44,54,vieux,old
46,56,tiens,here
47,57,matin,morning
48,58,tellement,so much
49,59,enfant,child
50,60,point,point
51,62,suite,after
52,63,pardon,sorry
53,64,venez,come
54,65,devant,in front of
55,66,minutes,minutes
57,68,mis,placed
58,69,belle,beautiful
59,72,aujourd'hui,today
60,73,mari,husband
61,74,cause,cause
62,75,enfin,finally
63,77,eau,water
64,79,parti,left
65,80,boulot,job
66,81,arrêter,Stop
68,83,terre,Earth
69,84,donne,given
70,85,loin,far
71,86,fin,end
72,87,croire,believe
73,88,gros,large
74,89,plutôt,rather
75,90,aura,will have
